order_id,customer_id,book_id,quantity,price_base,order_date,ship_date
1,14995,93,8,4.50,2019-02-09,2019-02-23
2,28760,50,16,13.42,2018-10-03,2018-10-06
3,5096,61,12,18.52,2018-02-22,2018-03-01
4,51619,60,8,16.85,2019-07-03,2019-07-04
5,5815,22,20,17.10,2019-06-12,2019-06-16
6,3947,76,20,21.85,2019-01-18,2019-01-24
7,68425,14,11,16.85,2019-02-02,2019-02-11
8,48126,7,8,15.73,2018-11-04,2018-11-13
9,79505,11,15,19.75,2019-02-06,2019-02-20
10,65278,158,19,38.50,2019-12-07,2019-12-16
11,32799,149,1,50.50,2018-02-25,2018-03-11
12,77441,87,13,12.30,2018-02-13,2018-02-27
13,84150,165,4,12.50,2019-05-09,2019-05-11
14,51848,83,13,14.25,2019-04-19,2019-05-03
15,9881,155,9,42.00,2019-08-01,2019-08-11
16,22464,43,4,10.08,2019-06-18,2019-06-26
17,22629,30,7,9.52,2019-01-19,2019-01-29
18,75809,35,3,10.79,2018-01-20,2018-01-29
19,32140,39,15,10.50,2018-03-10,2018-03-19
20,42020,101,1,2.60,2019-06-27,2019-07-01
21,99682,35,19,10.79,2018-06-09,2018-06-13
22,65139,102,12,8.06,2018-11-04,2018-11-11
23,53142,130,17,31.65,2018-08-24,2018-09-04
24,45174,111,4,20.67,2019-11-20,2019-11-29
25,37586,21,20,18.34,2018-09-06,2018-09-17
26,44132,158,13,38.50,2019-08-04,2019-08-16
27,83009,94,7,2.15,2019-10-05,2019-10-11
28,16886,92,7,1.35,2019-12-15,2019-12-28
29,14313,139,15,54.46,2018-10-03,2018-10-07
30,72350,146,17,51.80,2018-01-12,2018-01-23
31,6152,35,1,10.79,2019-04-28,2019-05-08
32,77273,131,18,31.25,2018-02-25,2018-03-05
33,17847,71,4,22.76,2019-10-05,2019-10-12
34,63861,41,5,10.28,2019-05-10,2019-05-11
35,68118,130,11,31.65,2019-03-18,2019-03-23
36,51842,49,10,14.59,2018-05-28,2018-05-29
37,92596,160,17,39.30,2018-03-01,2018-03-04
38,79382,103,8,13.94,2019-01-11,2019-01-17
39,95671,158,17,38.50,2018-09-26,2018-10-03
40,58137,151,17,49.60,2018-06-10,2018-06-21
41,27720,50,1,13.42,2019-08-03,2019-08-05
42,46014,147,10,53.20,2019-08-18,2019-08-20
43,11949,150,2,45.80,2018-09-22,2018-10-06
44,64872,26,11,11.54,2019-01-09,2019-01-15
45,25592,56,20,10.83,2018-06-07,2018-06-20
46,1365,83,15,14.25,2018-12-05,2018-12-08
47,45583,163,7,32.30,2019-12-21,2019-12-31
48,22150,130,11,31.65,2018-03-11,2018-03-13
49,12578,31,1,8.04,2018-01-20,2018-01-21
50,61961,156,18,44.00,2018-07-25,2018-07-31
51,88770,107,8,16.69,2019-03-28,2019-04-02
52,69531,91,16,8.10,2019-07-07,2019-07-17
53,58625,46,8,10.46,2018-06-16,2018-06-24
54,78149,122,13,20.43,2018-04-07,2018-04-17
55,214,159,8,41.10,2018-11-17,2018-11-27
56,6333,108,14,24.30,2019-11-24,2019-11-27
57,49721,156,2,44.00,2019-02-16,2019-02-22
58,99401,139,9,54.46,2018-08-26,2018-09-05
59,51252,121,16,17.07,2019-08-10,2019-08-19
60,13741,142,4,57.20,2018-08-20,2018-09-01
61,74754,101,19,2.60,2018-12-15,2018-12-27
62,42701,95,15,3.15,2019-10-01,2019-10-14
63,89937,83,13,14.25,2018-06-21,2018-06-24
64,89177,76,19,21.85,2018-08-04,2018-08-08
65,10504,148,6,51.20,2018-07-07,2018-07-21
66,32162,47,19,12.91,2018-03-06,2018-03-09
67,21902,8,3,15.51,2019-07-08,2019-07-22
68,32595,6,9,16.94,2018-07-20,2018-07-23
69,3876,109,4,22.13,2019-03-02,2019-03-06
70,77045,153,14,45.50,2019-05-06,2019-05-09
71,37979,94,5,2.15,2019-07-19,2019-07-31
72,84198,73,11,22.67,2019-12-17,2019-12-24
73,95865,154,6,43.90,2019-11-09,2019-11-14
74,37131,16,13,14.58,2018-08-16,2018-08-21
75,27153,149,11,50.50,2019-06-20,2019-06-25
76,80712,124,12,18.43,2018-12-26,2019-01-01
77,17273,133,4,29.17,2019-12-17,2019-12-19
78,15080,83,19,14.25,2019-04-08,2019-04-09
79,5885,99,14,0.75,2018-01-22,2018-01-31
80,79412,67,15,19.65,2018-08-13,2018-08-20
81,20754,26,7,11.54,2019-07-22,2019-08-03
82,33509,81,5,17.70,2019-06-03,2019-06-16
83,38412,104,3,21.31,2019-03-27,2019-04-09
84,7071,52,12,12.53,2019-06-02,2019-06-03
85,29270,14,18,16.85,2018-12-20,2018-12-22
86,35698,138,19,52.38,2018-03-24,2018-03-28
87,70519,28,2,11.50,2019-03-01,2019-03-10
88,65978,84,13,16.20,2019-03-06,2019-03-16
89,58229,45,20,10.63,2018-02-16,2018-02-22
90,70888,64,1,12.32,2019-03-19,2019-03-21
91,15720,26,5,11.54,2019-05-26,2019-06-04
92,66996,154,3,43.90,2018-03-05,2018-03-07
93,61346,80,15,16.45,2018-07-17,2018-07-28
94,33065,108,12,24.30,2019-11-02,2019-11-13
95,17741,46,19,10.46,2019-09-12,2019-09-24
96,35674,40,17,9.78,2019-04-14,2019-04-21
97,11121,141,3,45.38,2019-11-15,2019-11-28
98,53243,35,6,10.79,2018-06-04,2018-06-10
99,27889,164,15,35.60,2018-03-19,2018-04-01
